#camera_position
IMG_20211116_145526_1.jpg,250,2400
IMG_20211116_145532.jpg,250,2300
IMG_20211116_150212_1.jpg,620,2100
IMG_20211116_153702.jpg,561,2000
IMG_20211116_153705.jpg,250,2040
IMG_20211116_153707.jpg,0,2150
#dark_sheet
IMG_20211020_155902.jpg,850,2200
IMG_20211020_160524.jpg,780,2270
IMG_20211020_161529.jpg,660,2220
#exposure
1632184691494.jpg,0,1900
1632184691498.jpg,0,1900
1632184691501.jpg,0,1900
#front_pseudo_leaf
1632321916446.jpg,0,2300
1632321916470.jpg,200,2300
IMG_20211005_132152_1.jpg,0,2050
IMG_20211020_161523.jpg,680,2250
IMG_20211020_162037.jpg,850,2300
#house
IMG_20211005_131922.jpg,0,2200
IMG_20211005_133125.jpg,350,2200
IMG_20211012_111413.jpg,400,2100
#light_pseudo
IMG_20211116_152508.jpg,0,2200
#pitch_angle
IMG_20211116_151716.jpg,300,2000
IMG_20211116_151722.jpg,110,2100
IMG_20211116_151736.jpg,110,2080
#pole
1632321916497.jpg,200,2410
1632321916501.jpg,230,2380
1632321916517.jpg,0,2300
IMG_20211020_160322.jpg,847,2200
IMG_20211020_161516.jpg,0,2250
IMG_20211116_150818.jpg,0,2150
#weather
IMG_20211012_104222.jpg,0,2200
#yaw_angle
IMG_20211116_151929_1.jpg,0,2200
IMG_20211116_151936_1.jpg,150,2150
IMG_20211116_151946_1.jpg,250,2100
IMG_20211116_153644_1.jpg,300,2150
IMG_20211116_153648.jpg,0,2300
IMG_20211116_153653_1.jpg,120,2255
#height
IMG_20211116_151342_1.jpg,0,2000
IMG_20211116_151202.jpg,0,2000
IMG_20211116_151234_1.jpg,200,2000
#wb
1631583475058.jpg,200,2000
1631583475064.jpg,200,2000
1631583475070.jpg,200,2000
1631583475075.jpg,200,2000
1631583475078.jpg,200,2000
1631583475081.jpg,200,2000
1631583475084.jpg,200,2000
1631583475087.jpg,200,2000
1631583475089.jpg,200,2000
1631583475093.jpg,200,2000
1631583475096.jpg,200,2000
1631583475098.jpg,200,2000
1631583475101.jpg,200,2000
1631583475104.jpg,200,2000
1631583475106.jpg,200,2000
1631583475109.jpg,200,2000
1631583475112.jpg,200,2000
1631583475114.jpg,200,2000
1631583475117.jpg,200,2000
1631583475119.jpg,200,2000
1631583475122.jpg,200,2000
1631583475125.jpg,200,2000
1631583475127.jpg,200,2000
1631583475130.jpg,200,2000
1631583475133.jpg,200,2000
